Name,Team,IP,Pit+ FA,Pit+ SI,Pit+ FC,Pit+ FS,Pit+ SL,Pit+ CU,Pit+ CH,Pit+ KC,Pit+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Blake Cederlind","PIT",4,,157.07999999999998,109.56400000000002,,68.18,,,,,124.77134328358207,119.64567164179107,138.02328358208953,"Blake Cederlind",20344,664977
"Emmanuel Clase","- - -",360,106.15840909090907,70.88,127.34419701443056,,138.50059313835249,,,,,132.2962014613414,100.05115057128384,130.24574432914986,"Emmanuel Clase",21032,661403
"Roberto Osuna","- - -",315,139.886,111.62,127.2377777777778,,144.34909090909088,,107.074,,,104.22145454545455,122.13636363636363,130.17345454545455,"Roberto Osuna",13764,532077
"Jacob Misiorowski","MIL",66,126.11037500000002,,,,143.19411168292498,126.32799999999999,102.08289855072464,,,118.5782322728121,104.17162908191828,128.82710813584626,"Jacob Misiorowski",31623,694819
"Jacob deGrom","- - -",1539.2,123.40089392508656,,,,139.02605982746195,123.6035807860262,109.99112033195023,,,117.1482487286794,107.84069611032317,127.65223125817462,"Jacob deGrom",10954,594798
"Brusdar Graterol","- - -",190.2,83.41761179414642,138.70752427184465,109.49353260352213,,125.85276155531774,,82.18,,,126.56239482193358,103.9257128994497,125.61873503341779,"Brusdar Graterol",20367,660813
"Jonathan Loáisiga","NYY",249.1,118.28,130.54030266343827,63.339999999999996,,128.12230769230771,117.54598230088494,108.58884848484848,,,122.68677240943838,101.41154241475391,123.02001068436127,"Jonathan Loaisiga",19753,642528
"Orion Kerkering","PHI",126,105.45889855072465,109.8444011142061,,,131.70339565266303,,,,,120.66069713370561,105.85954833753136,121.79220718966319,"Orion Kerkering",31776,689147
"Blair Calvo","COL",1,,192.42000000000002,,,62.06,,,,,96.88545454545452,112.08000000000001,121.31454545454545,"Blair Calvo",25416,663971
"Félix Bautista","BAL",161.1,112.72295205726189,110.68170103092784,127.52,128.5919825072886,95.72396475770927,,,,,120.40888247930431,96.94449288608129,121.25879260743982,"Felix Bautista",20666,642585
"Tyler Rogers","- - -",424,61.72846789574063,121.99218138707768,,,121.66586485483448,,,,,124.53547717568625,103.9068896782224,120.79899322605473,"Tyler Rogers",15541,643511
"Chase Burns","CIN",43.1,119.93416289592759,76.34,,,126.84218867924525,58.153333333333336,107.77892676767678,,,114.5617385837696,105.99225276666775,120.59933682350776,"Chase Burns",35333,695505
"Jhoan Duran","- - -",254.1,107.50456202233978,,,145.72310374891023,85.14731182795698,119.98313001768736,,112.047572815534,,127.24194777512425,95.36957282928505,120.43418517910096,"Jhoan Duran",21029,661395
"Jeremiah Estrada","- - -",150.1,120.66381748071981,,,120.43691358024691,119.49713221601486,74.65333333333335,66.3475,,,107.89059003767028,112.49597598243373,120.24554589017185,"Jeremiah Estrada",22210,669093
"Scott Effross","- - -",85.1,86.22697368421055,114.44138828633406,,,121.02482401358155,,110.37820359281439,,,114.27475560015274,114.281924652011,120.24306739660996,"Scott Effross",18384,664123
"Liam Hendriks","- - -",663.2,125.3602480270575,,,,111.45523836657168,100.08480916030535,48.56,,,115.50627010951256,104.87556236396435,119.40339522089403,"Liam Hendriks",3548,521230
"José Alvarado","- - -",368.1,80.86196078431372,114.3447721564406,129.92918693537175,,,114.44191489361701,,,,114.20956682566859,100.75348729846965,119.08948438576058,"Jose Alvarado",17780,621237
"Adrian Morejon","SDP",212.1,111.18210748751517,127.09527450980397,94.88000000000001,101.65802469135802,122.20428494214458,108.36073893342628,123.1982558139535,,,117.89779162069074,104.05392170682825,118.61807580622505,"Adrian Morejon",20039,670970
"Zack Wheeler","- - -",1728.1,123.54619372865567,128.9351617541337,108.0863453815261,101.52142548596113,118.06323723191565,108.00328484504794,78.15145299145298,,,114.02415244255764,105.2850529084903,118.45696227466692,"Zack Wheeler",10310,554430
"Edgardo Henriquez","LAD",22.1,119.8401724137931,124.5936585365854,97.46818181818183,,139.62884615384615,,,,,127.98619215275791,91.76216385954893,118.22494200737991,"Edgardo Henriquez",26944,683618
"Blake Treinen","- - -",576.1,81.43605947955389,125.53345300950372,114.72812164579604,,122.97462163252645,,-33.80000000000001,,,116.53205698657092,105.58708269587171,118.15212664090106,"Blake Treinen",12572,595014
"Ryan Thompson","- - -",241.1,102.2463661971831,122.93145621181263,121.21375,49.18,115.23291852866373,,87.83599999999998,,,123.53878715458062,100.07859406651818,117.90319990775232,"Ryan Thompson",16647,657044
"Corbin Burnes","- - -",968,97.95075,86.49124356144223,124.14693153000846,,127.48868852657188,119.20446585883509,103.13447938504542,,,115.57509060908181,100.1737972075282,117.74799947205871,"Corbin Burnes",19361,669203
"Evan Phillips","- - -",252,105.54787328892264,126.49353535353536,114.58418202624722,,122.9672733722344,,112.15674418604652,,,116.52174941161009,103.35268098720312,117.4925971392948,"Evan Phillips",17734,623465
"Grant Taylor","CHW",36.2,104.94118694362015,,142.59117647058824,,96.89263157894739,135.19575757575757,,,,94.7648455686027,120.78113088915046,117.47432396428468,"Grant Taylor",33927,691799
"Chaz Roe","- - -",217.1,95.86444444444444,102.25395348837209,113.3776,,125.82666666666668,,,,,113.39571428571429,97.28615384615385,117.06560439560438,"Chaz Roe",9866,475054
"Pete Fairbanks","- - -",265.1,109.35515653775323,,144.1890476190476,,126.32056034604169,,104.8288961038961,,,122.32450873237323,96.8694477427086,116.85927259276635,"Pete Fairbanks",17998,664126
"Aroldis Chapman","- - -",821.1,100.88717045942464,142.92105747126436,,134.28060952380955,119.96666050704471,,,,,111.9920003715123,104.90114486387475,116.60437623915867,"Aroldis Chapman",10233,547973
"Kenley Jansen","- - -",927.1,,111.97961212121211,119.44511535175162,,104.98660805779278,,,,,122.57339152567616,97.27251403296816,116.4373184571834,"Kenley Jansen",3096,445276
"Gerrit Cole","- - -",1954,120.4454159922305,155.67266666666666,105.69811046511626,,117.16497417436322,,99.26533081285444,116.16263620386643,,113.99842884587821,103.55942295304742,116.4178494572502,"Gerrit Cole",13125,543037
"Devin Williams","- - -",297.2,95.44421928536467,,115.55822222222221,,57.49803076923077,,132.90857347670251,,,116.40983191783704,98.04094405640284,116.18209998953881,"Devin Williams",15816,642207
"Edwin Díaz","- - -",519.1,104.75706815259322,33.27333333333333,,,129.20285788358117,,56.46,,,119.21460585386166,95.14462958503397,115.92197533244806,"Edwin Diaz",14710,621242
"Josh Hader","- - -",512.1,-302.02,119.47901895206242,,,112.6153847567978,,71.52858823529412,,,117.59256773305354,100.15412164643062,115.82845227727034,"Josh Hader",14212,623352
"Paul Sewald","- - -",396,116.78238956668069,,,,113.00721288079663,,47.631428571428565,,,119.04088168463859,98.62278281899819,115.71408868029079,"Paul Sewald",13892,623149
"Paul Skenes","PIT",320.2,102.2866502463054,128.2214739229025,,122.96709046454767,133.02479337486974,109.697027027027,103.06736363636364,,,107.53209879046783,110.86066138823192,115.56204837185199,"Paul Skenes",33677,694973
"Bubba Chandler","PIT",31.1,118.0344578313253,,,,135.12148148148148,98.76074074074074,97.57442307692307,,,108.53614888451537,104.25139388889687,115.304384651851,"Bubba Chandler",29868,696149
"Yimi García","- - -",419.1,121.06959340011784,117.72807476635512,,,122.18252067672265,110.17016513316774,74.934875,,,110.52140190904262,103.9873197468883,115.29610284274568,"Yimi Garcia",12095,554340
"Shane McClanahan","TBR",404.2,106.12929889298894,,,,125.13759237609118,120.21777881385671,116.60573482428116,,,112.98467811317438,102.3831715745261,115.01333016433526,"Shane McClanahan",21483,663556
"Spencer Schwellenbach","ATL",234.1,110.90506787330318,123.86601398601398,114.66607287449395,120.58013043478263,118.12319813548216,109.33912087912087,,,,108.34589027648856,107.80410205696215,115.00321565414043,"Spencer Schwellenbach",31846,680885
"Ryan Helsley","- - -",319.2,107.69557996485062,86.65857142857142,147.09692307692308,,127.71307440585382,103.61135446685878,48.080555555555556,,,121.14508877140874,94.83106759226176,114.99906481453577,"Ryan Helsley",18138,664854
"Gregory Santos","- - -",86.1,104.55866490996927,101.92056390977444,,,127.00978599270002,,69.29599999999998,,,109.18020167188138,105.33867995847557,114.98399377315945,"Gregory Santos",21894,666619
"Trevor Megill","- - -",196.2,111.52881372081943,,,,117.50517017930167,,,121.78089026915117,,115.32187139890537,101.55399297808083,114.97274154061317,"Trevor Megill",17722,656730
"Hunter Greene","CIN",495.2,114.09190435525191,,,98.27039800995028,121.16488937607777,106.81002659574466,69.95267857142858,,,116.89200211829301,99.24860692053358,114.78971594399285,"Hunter Greene",22182,668881
